en	lt	lv	pl	de	ru	uk
History	Istorija	Vēsture	Historia	Verlauf	История	Історія
Scientific	Mokslinis	Zinātniskais	Naukowy	Wissenschaftlich	Инженерный	Інженерний
Scientific mode	Mokslinis režimas	Zinātniskais režīms	Tryb naukowy	Wissenschaftlicher Modus	Инженерный режим	Інженерний режим
Converter	Keitiklis	Pārveidotājs	Przelicznik	Umrechner	Конвертер	Конвертер
VAT	PVM	PVN	VAT	MwSt	НДС	ПДВ
Photo	Foto	Foto	Zdjęcie	Foto	Фото	Фото
VAT and tips	PVM ir arbatpinigiai	PVN un dzeramnauda	VAT i napiwki	MwSt und Trinkgeld	НДС и чаевые	ПДВ і чайові
Choose a unit	Pasirinkite vienetą	Izvēlieties mērvienību	Wybierz jednostkę	Einheit wählen	Выберите единицу	Виберіть одиницю
Settings	Nustatymai	Iestatījumi	Ustawienia	Einstellungen	Настройки	Налаштування
Photo problem	Foto uždavinys	Uzdevums no foto	Zadanie ze zdjęcia	Aufgabe vom Foto	Задача по фото	Задача з фото
Choose a photo	Pasirinkite nuotrauką	Izvēlieties foto	Wybierz zdjęcie	Foto wählen	Выберите фото	Виберіть фото
Clear	Išvalyti	Notīrīt	Wyczyść	Löschen	Очистить	Очистити
Tip	Arbatpinigiai	Dzeramnauda	Napiwek	Trinkgeld	Чаевые	Чайові
Update rates	Atnaujinti kursus	Atjaunināt kursus	Aktualizuj kursy	Kurse aktualisieren	Обновить курсы	Оновити курси
Recognized	Atpažinta	Atpazīts	Rozpoznano	Erkannt	Распознано	Розпізнано
Recognition failed: {}	Atpažinti nepavyko: {}	Atpazīšana neizdevās: {}	Rozpoznanie nie powiodło się: {}	Erkennung fehlgeschlagen: {}	Не удалось распознать: {}	Не вдалося розпізнати: {}
Recognizing… (a few seconds)	Atpažįstama… (kelios sekundės)	Atpazīst… (dažas sekundes)	Rozpoznawanie… (kilka sekund)	Wird erkannt… (einige Sekunden)	Распознавание… (несколько секунд)	Розпізнавання… (кілька секунд)
Automatic	Automatinė	Automātiski	Automatyczny	Automatisch	Автоматически	Автоматично
